[2023-07-06T11:36:06][2023-07-06T11:36:06][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:10][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:13][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:14][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:36:44][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:43][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46][2023-07-06T11:37:46] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [55] [Starting EmployeeMicroServiceApplication using Java 17.0.7 on Hp with PID 10692 (C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service\target\classes started by akash in C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service)] 
[2023-07-06T11:37:49] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [882] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - registration status: 204] 
[2023-07-06T11:37:49] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [61] [Started EmployeeMicroServiceApplication in 3.426 seconds (JVM running for 104.945)] 
[2023-07-06T11:40:32] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [55] [Starting EmployeeMicroServiceApplication using Java 17.0.7 on Hp with PID 13536 (C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service\target\classes started by akash in C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service)] 
[2023-07-06T11:40:32] [INFO]  [org.springframework.boot.SpringApplication] [restartedMain] [631] [No active profile set, falling back to 1 default profile: "default"] 
[2023-07-06T11:40:36] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:40:36] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting service [Tomcat]] 
[2023-07-06T11:40:36] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting Servlet engine: [Apache Tomcat/9.0.76]] 
[2023-07-06T11:40:36] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing Spring embedded WebApplicationContext] 
[2023-07-06T11:40:36] [INFO]  [com.controller.EmployeeController] [restartedMain] [25] [list of employee object created...] 
[2023-07-06T11:40:36] [INFO]  [com.controller.EmployeeController] [restartedMain] [29] [3 employee record stored] 
[2023-07-06T11:40:36] [INFO]  [com.controller.EmployeeController] [restartedMain] [30] [size of employee 3] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [372] [Initializing Eureka in region us-east-1] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver] [restartedMain] [43] [Resolving eureka endpoints via configuration] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1007] [Disable delta property : false] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1009] [Force full registry fetch : false] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1010] [Application is null : false] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1013] [Application version is -1: true] 
[2023-07-06T11:40:38] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1106] [The response status is 200] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1321] [Starting heartbeat executor: renew interval is: 30] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.InstanceInfoReplicator] [restartedMain] [60] [InstanceInfoReplicator onDemand update allowed rate per min is 4] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [492] [Discovery Client initialized at timestamp 1688623839777 with initial instances count: 0] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient$3] [restartedMain] [1352] [Saw local status change event StatusChangeEvent [timestamp=1688623839781, current=UP, previous=STARTING]] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [873] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191: registering service...] 
[2023-07-06T11:40:39] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:40:39] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [882] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - registration status: 204] 
[2023-07-06T11:40:40] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [61] [Started EmployeeMicroServiceApplication in 8.651 seconds (JVM running for 9.576)] 
[2023-07-06T11:40:44] [INFO]  [org.apache.juli.logging.DirectJDKLog] [http-nio-9191-exec-1] [173] [Initializing Spring DispatcherServlet 'dispatcherServlet'] 
[2023-07-06T11:40:44] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-1] [35] [find all employee called..] 
[2023-07-06T11:40:44] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-1] [36] [Number of records going to display in json format 3] 
[2023-07-06T11:40:44] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-1] [38] [Number of records going to display in json format 0] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1007] [Disable delta property : false] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1009] [Force full registry fetch : false] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1010] [Application is null : false] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1013] [Application version is -1: false] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:41:09] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1106] [The response status is 200] 
[2023-07-06T11:45:44] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [55] [Starting EmployeeMicroServiceApplication using Java 17.0.7 on Hp with PID 18916 (C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service\target\classes started by akash in C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service)] 
[2023-07-06T11:45:44] [INFO]  [org.springframework.boot.SpringApplication] [restartedMain] [631] [No active profile set, falling back to 1 default profile: "default"] 
[2023-07-06T11:45:47] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:45:47] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting service [Tomcat]] 
[2023-07-06T11:45:47] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting Servlet engine: [Apache Tomcat/9.0.76]] 
[2023-07-06T11:45:47] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing Spring embedded WebApplicationContext] 
[2023-07-06T11:45:47] [INFO]  [com.controller.EmployeeController] [restartedMain] [25] [list of employee object created...] 
[2023-07-06T11:45:47] [INFO]  [com.controller.EmployeeController] [restartedMain] [29] [3 employee record stored] 
[2023-07-06T11:45:47] [INFO]  [com.controller.EmployeeController] [restartedMain] [30] [size of employee 3] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [372] [Initializing Eureka in region us-east-1] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver] [restartedMain] [43] [Resolving eureka endpoints via configuration] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1007] [Disable delta property : false] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1009] [Force full registry fetch : false] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1010] [Application is null : false] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1013] [Application version is -1: true] 
[2023-07-06T11:45:50] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1106] [The response status is 200] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1321] [Starting heartbeat executor: renew interval is: 30] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.InstanceInfoReplicator] [restartedMain] [60] [InstanceInfoReplicator onDemand update allowed rate per min is 4] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [492] [Discovery Client initialized at timestamp 1688624151273 with initial instances count: 0] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient$3] [restartedMain] [1352] [Saw local status change event StatusChangeEvent [timestamp=1688624151277, current=UP, previous=STARTING]] 
[2023-07-06T11:45:51] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [873] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191: registering service...] 
[2023-07-06T11:45:51] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [882] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - registration status: 204] 
[2023-07-06T11:45:51] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [61] [Started EmployeeMicroServiceApplication in 8.106 seconds (JVM running for 8.958)] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1007] [Disable delta property : false] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1009] [Force full registry fetch : false] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1010] [Application is null : false] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1013] [Application version is -1: false] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:46:21] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-CacheRefreshExecutor-0] [1106] [The response status is 200] 
[2023-07-06T11:46:33] [INFO]  [org.apache.juli.logging.DirectJDKLog] [http-nio-9191-exec-3] [173] [Initializing Spring DispatcherServlet 'dispatcherServlet'] 
[2023-07-06T11:46:33] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-3] [46] [While loop execute] 
[2023-07-06T11:46:33] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-3] [46] [While loop execute] 
[2023-07-06T11:46:33] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-3] [46] [While loop execute] 
[2023-07-06T11:46:38] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-2] [46] [While loop execute] 
[2023-07-06T11:48:11] [INFO]  [com.netflix.discovery.DiscoveryClient$3] [Thread-6] [1352] [Saw local status change event StatusChangeEvent [timestamp=1688624291697, current=DOWN, previous=UP]] 
[2023-07-06T11:48:11] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [873] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191: registering service...] 
[2023-07-06T11:48:11] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [882] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - registration status: 204] 
[2023-07-06T11:48:11] [INFO]  [org.apache.juli.logging.DirectJDKLog] [Thread-6] [173] [Pausing ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:48:11] [INFO]  [org.apache.juli.logging.DirectJDKLog] [Thread-6] [173] [Stopping service [Tomcat]] 
[2023-07-06T11:48:11] [INFO]  [org.apache.juli.logging.DirectJDKLog] [Thread-6] [173] [Destroying Spring FrameworkServlet 'dispatcherServlet'] 
[2023-07-06T11:48:11] [INFO]  [org.apache.juli.logging.DirectJDKLog] [Thread-6] [173] [Stopping ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:48:11] [INFO]  [org.apache.juli.logging.DirectJDKLog] [Thread-6] [173] [Destroying ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:48:11] [INFO]  [com.netflix.discovery.DiscoveryClient] [Thread-6] [935] [Shutting down DiscoveryClient ...] 
[2023-07-06T11:48:14] [INFO]  [com.netflix.discovery.DiscoveryClient] [Thread-6] [971] [Unregistering ...] 
[2023-07-06T11:48:14] [INFO]  [com.netflix.discovery.DiscoveryClient] [Thread-6] [973] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - deregister  status: 200] 
[2023-07-06T11:48:14] [INFO]  [com.netflix.discovery.DiscoveryClient] [Thread-6] [960] [Completed shut down of DiscoveryClient] 
[2023-07-06T11:48:14] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [55] [Starting EmployeeMicroServiceApplication using Java 17.0.7 on Hp with PID 18916 (C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service\target\classes started by akash in C:\Users\akash\Desktop\javatraining\Spring micro service gateway\employee-micro-service\employee-micro-service)] 
[2023-07-06T11:48:15] [INFO]  [org.springframework.boot.SpringApplication] [restartedMain] [631] [No active profile set, falling back to 1 default profile: "default"] 
[2023-07-06T11:48:16] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:48:16] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting service [Tomcat]] 
[2023-07-06T11:48:16] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting Servlet engine: [Apache Tomcat/9.0.76]] 
[2023-07-06T11:48:16] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing Spring embedded WebApplicationContext] 
[2023-07-06T11:48:16] [INFO]  [com.controller.EmployeeController] [restartedMain] [25] [list of employee object created...] 
[2023-07-06T11:48:16] [INFO]  [com.controller.EmployeeController] [restartedMain] [29] [3 employee record stored] 
[2023-07-06T11:48:16] [INFO]  [com.controller.EmployeeController] [restartedMain] [30] [size of employee 3] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [372] [Initializing Eureka in region us-east-1] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver] [restartedMain] [43] [Resolving eureka endpoints via configuration] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1007] [Disable delta property : false] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1008] [Single vip registry refresh property : null] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1009] [Force full registry fetch : false] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1010] [Application is null : false] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1011] [Registered Applications size is zero : true] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1013] [Application version is -1: true] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1097] [Getting all instance registry info from the eureka server] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1106] [The response status is 200] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [1321] [Starting heartbeat executor: renew interval is: 30] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.InstanceInfoReplicator] [restartedMain] [60] [InstanceInfoReplicator onDemand update allowed rate per min is 4] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [492] [Discovery Client initialized at timestamp 1688624297511 with initial instances count: 2] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient$3] [restartedMain] [1352] [Saw local status change event StatusChangeEvent [timestamp=1688624297512, current=UP, previous=STARTING]] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [873] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191: registering service...] 
[2023-07-06T11:48:17] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting ProtocolHandler ["http-nio-9191"]] 
[2023-07-06T11:48:17] [INFO]  [com.netflix.discovery.DiscoveryClient] [DiscoveryClient-InstanceInfoReplicator-0] [882] [DiscoveryClient_EMPLOYEESERVICE/host.docker.internal:employeeservice:9191 - registration status: 204] 
[2023-07-06T11:48:17] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [61] [Started EmployeeMicroServiceApplication in 2.924 seconds (JVM running for 155.118)] 
[2023-07-06T11:49:39] [INFO]  [org.apache.juli.logging.DirectJDKLog] [http-nio-9191-exec-2] [173] [Initializing Spring DispatcherServlet 'dispatcherServlet'] 
[2023-07-06T11:49:39] [INFO]  [com.controller.EmployeeController] [http-nio-9191-exec-2] [47] [While loop execute] 
[2023-07-06T11:49:44] [ERROR]  [com.controller.EmployeeController] [http-nio-9191-exec-1] [55] [java.lang.NumberFormatException: For input string: "Ramesh"] 
[2024-08-27T20:14:57] [INFO]  [org.springframework.boot.StartupInfoLogger] [restartedMain] [50] [Starting EmployeeMicroServiceApplication using Java 17.0.9 with PID 32520 (D:\Spring 2024\Spring micro service api gate way\employee-micro-service\employee-micro-service\target\classes started by akash in D:\Spring 2024\Spring micro service api gate way\employee-micro-service\employee-micro-service)] 
[2024-08-27T20:14:57] [INFO]  [org.springframework.boot.SpringApplication] [restartedMain] [654] [No active profile set, falling back to 1 default profile: "default"] 
[2024-08-27T20:14:59] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing ProtocolHandler ["http-nio-9191"]] 
[2024-08-27T20:14:59] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting service [Tomcat]] 
[2024-08-27T20:14:59] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Starting Servlet engine: [Apache Tomcat/10.1.28]] 
[2024-08-27T20:14:59] [INFO]  [org.apache.juli.logging.DirectJDKLog] [restartedMain] [173] [Initializing Spring embedded WebApplicationContext] 
[2024-08-27T20:14:59] [INFO]  [com.controller.EmployeeController] [restartedMain] [25] [list of employee object created...] 
[2024-08-27T20:14:59] [INFO]  [com.controller.EmployeeController] [restartedMain] [29] [3 employee record stored] 
[2024-08-27T20:14:59] [INFO]  [com.controller.EmployeeController] [restartedMain] [30] [size of employee 3] 
[2024-08-27T20:15:00] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [329] [Initializing Eureka in region us-east-1] 
[2024-08-27T20:15:00] [INFO]  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver] [restartedMain] [43] [Resolving eureka endpoints via configuration] 
[2024-08-27T20:15:00] [INFO]  [com.netflix.discovery.DiscoveryClient] [restartedMain] [954] [Disable delta property : false] 
